,destination,watches
0,airport/LED,24618
1,airport/FLW,194
2,airport/LLA,429
3,airport/JUB,226
4,airport/SCN,137
5,airport/MTR,4881
6,airport/PAZ,236
7,airport/FWA,12812
8,airport/WNZ,1146
9,airport/LGG,8
10,airport/AGP,101347
11,airport/KCH,1808
12,airport/TJA,305
13,airport/VUP,3735
14,airport/SUB,4158
15,airport/SPS,2238
16,airport/VAN,53
17,airport/KKA,2
18,airport/SAV,165021
19,airport/NIM,772
20,airport/SAT,291312
21,airport/BVC,259
22,airport/DLU,71
23,city/BRU,147900
24,airport/JMK,35893
25,airport/NGS,643
26,airport/PIU,9882
27,airport/AEX,5656
28,airport/AJA,2846
29,airport/PKU,50
30,airport/PQI,650
31,airport/DMM,11105
32,airport/SBP,13956
33,airport/HTY,340
34,airport/MMB,34
35,airport/PDG,123
36,airport/BTU,40
37,airport/CJB,6901
38,airport/STI,298842
39,airport/LIT,49136
40,airport/RDD,5680
41,airport/TPQ,2134
42,airport/RMQ,721
43,airport/ROW,2505
44,airport/HNM,163
45,airport/MDC,693
46,airport/KLU,327
47,airport/TLN,618
48,airport/OUL,458
49,airport/MEI,1402
50,airport/JST,86
51,airport/TMU,52
52,airport/LOH,1716
53,airport/BFD,22
54,airport/AXP,2
55,airport/SPR,1124
56,airport/IGU,9110
57,airport/SHE,5166
58,airport/CVU,11
59,airport/SAP,85938
60,airport/JAC,47133
61,airport/IPC,7934
62,airport/DRO,14748
63,airport/YTS,1195
64,airport/LPA,25586
65,airport/FMA,194
66,airport/YPR,333
67,city/SEL,421381
68,airport/LUN,4975
69,airport/LET,1789
70,airport/AXD,152
71,airport/LBS,193
72,airport/EBU,1
73,airport/ABI,3740
74,airport/HRE,7854
75,airport/NSN,1307
76,airport/AMH,9
77,airport/LYG,14
78,airport/AMD,99795
79,airport/NAY,60
80,airport/STR,30400
81,airport/KDI,2
82,airport/LCE,380
83,airport/CGP,1832
84,airport/MSR,2
85,city/BER,306460
86,airport/LMM,2363
87,airport/SWA,255
88,airport/ERI,6996
89,airport/ISE,14
90,airport/SOJ,2
91,airport/PDX,786174
92,airport/KGD,753
93,airport/KUF,665
94,airport/HJR,57
95,airport/TMR,3
96,airport/BBA,1597
97,airport/KSU,29
98,airport/PMW,668
99,airport/WWK,11
100,airport/YDQ,5
101,airport/LRS,18
102,airport/UET,264
103,airport/KRO,8
104,airport/TUI,12
105,airport/SFJ,37
106,airport/BON,7499
107,airport/XAP,364
108,airport/IAG,2465
109,airport/JOG,778
110,airport/DIN,10
111,airport/JNU,12209
112,airport/YBL,433
113,airport/RSA,69
114,airport/GRR,71593
115,airport/AOI,1008
116,airport/BIM,3848
117,airport/TIA,31059
118,airport/BHU,109
119,airport/HIN,52
120,airport/CDV,182
121,airport/HFE,651
122,airport/SCO,51
123,airport/TUO,75
124,airport/QOW,16
125,city/ORL,3664255
126,airport/UUS,116
127,airport/BTJ,8
128,airport/SZK,131
129,airport/VXE,941
130,airport/SHW,21
131,airport/AXM,17259
132,airport/MAH,7536
133,airport/MOB,32260
134,airport/INV,3992
135,airport/SBW,188
136,airport/KOJ,654
137,airport/JUL,2085
138,airport/BPT,2367
139,airport/NLD,530
140,airport/POR,3
141,airport/MED,5415
142,airport/LXR,1363
143,airport/GOH,92
144,airport/IPL,13
145,airport/NTE,6938
146,airport/LNS,62
147,airport/FRU,3786
148,airport/GYN,7915
149,airport/PPT,25929
150,airport/SKB,16709
151,airport/BDU,102
152,airport/ASF,95
153,airport/LSC,3175
154,airport/DOY,4
155,airport/GAJ,6
156,city/SJO,628803
157,airport/ONT,131779
158,airport/BDJ,2
159,airport/ABV,7147
160,airport/CIF,52
161,airport/BUD,131302
162,airport/DRS,2635
163,airport/RKS,498
164,airport/MRA,2
165,airport/CHS,287687
166,airport/TJM,141
167,airport/ASP,2043
168,airport/TIP,199
169,airport/VLD,11
170,airport/BTH,52
171,airport/OSW,1
172,airport/AKX,20
173,airport/RUN,7445
174,airport/LBA,5422
175,airport/CYP,199
176,airport/VLI,2108
177,airport/SOG,38
178,airport/CEN,1267
179,airport/LNZ,372
180,airport/NAT,14282
181,airport/KLV,8
182,airport/BHB,2975
183,airport/YNB,237
184,airport/YYQ,4
185,city/MEL,232489
186,airport/TAB,4349
187,airport/LYA,41
188,airport/PGK,2
189,airport/RZE,5635
190,airport/TVU,1119
191,airport/HRL,13421
192,airport/PPG,2814
193,airport/TNG,6426
194,airport/FAV,4
195,airport/KRN,845
196,airport/TYR,2997
197,airport/PFB,119
198,airport/SMR,34019
199,airport/RTM,2837
200,airport/URT,854
201,airport/ISG,625
202,airport/DIL,164
203,airport/EUX,38
204,airport/JUZ,1
205,city/NYC,6136124
206,airport/DAB,48956
207,airport/RCB,63
208,airport/JYV,40
209,airport/NRK,15
210,airport/KLG,1
211,airport/PCL,1490
212,airport/TUP,24
213,airport/MAN,136437
214,airport/URS,1
215,airport/OGS,435
216,airport/PBI,332760
217,airport/MZL,4175
218,airport/FNT,23545
219,airport/MPH,3967
220,city/MLW,3282
221,airport/NGB,573
222,airport/HFT,22
223,airport/ONJ,7
224,airport/KVG,6
225,airport/CIU,1
226,airport/BUF,167304
227,airport/PIT,203280
228,airport/LEB,956
229,airport/ORK,14148
230,airport/YEG,176369
231,airport/MTY,72882
232,airport/GHA,1
233,airport/YQL,795
234,airport/GWL,42
235,airport/MID,39546
236,airport/JPA,3097
237,airport/CPO,1081
238,airport/PTY,367846
239,airport/VGO,7457
240,airport/KNH,23
241,airport/OXB,353
242,airport/MCZ,7081
243,airport/GRX,7136
244,airport/SGC,44
245,airport/ADZ,56100
246,airport/MAO,6499
247,airport/BGR,21556
248,airport/FOR,21393
249,airport/MOT,5747
250,airport/ICT,35546
251,airport/SDQ,466880
252,airport/IXZ,2571
253,airport/YQF,443
254,airport/JHG,25
255,airport/SDD,4
256,airport/FNJ,383
257,airport/SZG,9128
258,airport/ROT,484
259,airport/KDU,28
260,airport/BCN,956723
261,airport/ZVK,63
262,airport/SCW,12
263,airport/CAE,47725
264,airport/CWA,3953
265,airport/YYD,300
266,airport/HAD,20
267,airport/XNN,186
268,airport/RMA,72
269,airport/RBA,9299
270,airport/PXO,313
271,airport/SSG,272
272,airport/ALF,203
273,airport/ELD,28
274,airport/MOV,5
275,airport/ACK,10917
276,airport/KKC,123
277,airport/JGA,176
278,airport/CFR,104
279,airport/AGF,12
280,airport/HER,16233
281,city/OSL,116324
282,airport/BLZ,699
283,airport/SYX,1633
284,airport/YZP,182
285,airport/BMV,46
286,airport/TBB,12
287,airport/AVN,64
288,airport/REN,61
289,airport/CBG,14
290,airport/HPN,36698
291,airport/FKB,492
292,airport/SAH,4
293,airport/BAL,9
294,airport/JGN,2
295,airport/FSD,26403
296,airport/SHD,134
